,id,question,desired_answer,student_answer,score_me,score_other,score_avg,index,is_foreign,math_grade
0,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,High rk problems are addrs in the prototype program to make sure that the program  feasible.  A prototype may also be used to show a company that the software can be posibly programmed.,4.0,3.0,3.5,0,0,70
1,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,To simulate porshens of the dsirid fenal product with a quick and easy program that dos a small specific job. It is a way to help see what the problm is and how you may solve it en the fenal project.,5.0,5.0,5.0,1,0,96
2,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,A prototipe program simulats the behaviors of portions of the dsired software product to allow for error checkeng.,5.0,3.0,4.0,2,0,71
3,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,"Defined in the Specification phase a prototype stimulates the behavior of portions of the desirid softwari product.  Meaning, the role of a prototype is a temporary solution until the program itself is rifined to be used extensively in problem solving.",5.0,5.0,5.0,3,0,87
4,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,It is used to let the users have a first idea of the completed program and allow the clients to evaluate the program. This can generate much feedback including softwari specifications and project estimations of the total project.,3.0,3.0,3.0,4,0,82
5,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,To find problem and errors in a program before it is finalized,2.0,2.0,2.0,5,0,93
6,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,"To addris major isus en the criation of the program. Theri is no wai to account for all posibl bugs en the program, but it is posibl to prove the program is tangibl. ",3.0,2.0,2.5,6,1,91
7,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,you can break the whole program into prototype programs to simulate parts of the final program,5.0,5.0,5.0,7,0,84
8,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,#NAME?,5.0,2.0,3.5,8,0,93
9,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,Simulating the behavior of only a portion of the desired software product.,5.0,5.0,5.0,9,0,79
10,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,A program that stimulates the behavior of portions of the desired software product.,5.0,5.0,5.0,10,0,81
